code,name,price,discount,image,discount_image,heart_count,star_rating,date_retrieved
아큐브,아큐브 1DAY - 영디파인 래디언트 브라이트 (30P),"54,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010081722_8334.jpg,NA,54,0,2024-06-05
DAVICHLENS,3DAY 뉴미라클 브라운(20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240311_5e00155e2d287039d9653729ffa0a572fd081649f607021c2ea91ce0f6d923b8_700x875x02,NA,93,5,2024-06-05
쿠퍼비전,쿠퍼비젼 1DAY - 마이데이 근시 대용량 (90P),"75,500원",40%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2209301802_9343.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,140,0,2024-06-05
아큐브,아큐브 1DAY - 뉴디파인 엑센트 (30P),"59,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010081411_8329.jpg,NA,66,0,2024-06-05
라이트 컬렉션,1MONTH - 라이트 오브제 그레이 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_2de6c217cb64a139bcedf2ae670089241e634b004a1e205b72b40146db111787_700x875x02,NA,970,0,2024-06-05
DAVICHLENS,3DAY 오로라 그레이 (20P),"20,000원",47%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2306271313_10211_1.jpg,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_low.png,140,0,2024-06-05
라이트 컬렉션,1MONTH - 라이트 오브제 초코 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240223_908f66a203dd04d692708bb8a7113f357565bd11cc496b8ffdc7e62913f137f6_700x875x02,NA,849,0,2024-06-05
라이트 컬렉션,1MONTH -라이트 위닝 블루 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231214_4927fc32f77f6b4c4cc14597c8c04f93098365ccdd5f5bf9f8859dd6075eeae5_700x875x02,NA,420,0,2024-06-05
DAVICHLENS,1MONTH 핫세 그란데 그레이 (2P),"20,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230801_8c86d94deaa2ddf3836cadabeab4f0207a88d5147d460c23b2a9b81f029e3ec8_700x875x02,NA,180,0,2024-06-05
인터로조,클라렌 1DAY - 아이리스 난시 헤일로브라운 (30P),"45,000원",18%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20220624_5cf7f712670483898052f6edcc2ea0d2d7a5080d4044fdfefdbb25cbdb63b8b7_735x645x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20230629_1687988578658.png,68,0,2024-06-05
DAVICHLENS,1MONTH 디어비 난시 그레이 (2P),"25,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240126_cde2c9224a76165f6d2aea8c657e6d98c380a0c4e39cb6e300420c97e50acb9c_700x875x02,NA,87,0,2024-06-05
라이트 컬렉션,1MONTH - 라이트 하이틴트 브라운 (1P),"5,000원",NA,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20240313_e384093fa2314f3fc74c5b391c3e2f0b9327992957c8ee4c7ac3fd3e3df75273_700x875x02,NA,729,0,2024-06-05
DAVICHLENS,3DAY 뉴스타리 나이트 블랙 (20P),"28,000원",26%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2305221421_10108_1.jpg,NA,143,0,2024-06-05
인터로조,클라렌 1DAY - 수지 그레이 (30P),"26,000원",46%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20230004_G2010121749_8369.jpg,NA,128,0,2024-06-05
DAVICHLENS,3DAY 아쿠아 클리어 난시 (30P),"39,000원",39%,https://img.davichmarket.com/image/image-view?type=GOODSDTL&id1=20231102_b92ff74901ade2762f466df96280aaa260fd3dfe2fef84ffd306ace3919336e2_700x875x02,https://img.davichmarket.com/image/image-view?type=ICON&id1=20220102_new.png,112,0,2024-06-05
